TweetID,TimeOfDay,Tweet
1001,17,The Bulldogs have been selected to finish 4th in the #WCHA by both the coaches and media for the 2016-17 season. https://t.co/FQnqPB3ldc
1002,22,Played disc golf. Got a tattoo. Heading to Detroit for night. Nice little Saturday.
1003,16,Sunday big football game I'm gunna gather all my peeps to sit back relax and enjoy it
1004,20,Despite my resolution to be nicer to Scooter there is nothing better than dropping him off the kennel for the weekend.
1005,18,"Reassigned by Michigan Runner to shoot Goodlife Fitness Toronto Mar instead of Detroit Free Press, both video. 2ndX not @ Detroit since 1984"
1006,19,I need to find someone who can take me to the hockey game
1007,13,So I have this new shower gel/ body spray combo going on and MAN DO I SMELL GREAAAAAT. \n\n*does a little dance*\n\n*takes a breath*
1008,13,This is what I like to call cupcake week in college football. A lot of easy games for big schools today. Should be no upsets....
1009,12,Starting off a beautiful day in the valley with #yoga &amp; #meditation. #loveyourself
1010,14,Love volleyball especially when my daughter is playing! http://t.co/izQGzXBe
1011,22,#abs &amp; #step @AllegroFit #workout  #fitfam
1012,18,Evan Beutler has started a gofundme to help spread soccer to kids in Flint. Please check out and share this link!\n\nhttps://t.co/9O2K674gy3
1013,12,"Going back to sleep, taking my brother to football practice then hanging out with my man until I take him to work (:"
1014,20,@aubcragg Im home sunday nights and during the entire days on monday! Ill come sneak into your pool one of those days ’Ê_’üè
1015,2,i'm not above going out 2 shovel the drive in hopes that my neighbor will c & take pity & come blow it for me!  thank u wonderful neighbor!
1016,0,I liked a @YouTube video http://t.co/u9y33mlm1C Cornbread Recipe -- The Frugal Chef
1017,5,K my last post may've been a lil bit disingenuous.  I was fishing.  \n\nActually I could use a hug if there were any out their to give.
1018,3,"The Harbor House is filling up...Deon &amp; Tamara Yates just walked in...Dummanie on Guitar,Phil Harmonic on Keys...Ibrahim Jones on Bass."
1019,7,"I just came to the hospital,  walked thru. The police officer was about to let me go, then im like nah it beep huh you can look. .."
1020,10,"[1/25/14, 4:03 AM]  Farm Up! Level 19 achieved. http://t.co/WTYHKcxQdl"
1021,1,I be walking past my old EX's and friends like I never knew them.
1022,21,"I'm at Elite personal fitness (10358 Gratiot, Richmond) http://t.co/pbJQOCMR"
1023,19,"Baked Potato the #vegan way ~ black bean corn salsa, red onion, arugula, and sirachi #vegetarian‰€_ https://t.co/OJ4fg9nPaB"
1024,1,"in case you missed the first few innings tonight, checked swing strikeouts are where it's at.  #sanchez"
1025,1,S/O to @_BornWithTalent for the fresh cooked White Castle #RealMVP
1026,0,Ere body run yo
1027,19,$10 he walks the bases loaded. #BackBenoit
1028,2,Connie said she they ain't cooking them potatoes and can't eat them unless she cook
1029,18,Shot 100 at Timberwood Golf Course. (null) #GolfshotGPS
1030,23,New Running Shoes! Thanks Craig for the hook up! http://t.co/XxP80L3EPB
1031,9,Just finished week 2 day 3 of #C25K with @c25kfree! Running for a cause with @BCRFcure!
1032,19,would like everyone to know that she is outside in flipflops watching tay and car ride their new bikes... sorry about the snow everyone! (:
1033,1,"Decided it was a vegetarian kind of night. Made a garden vegetable soup and a quinoa, sweet‰€_ https://t.co/7sBwkHstcE"
1034,17,We're only two days away from the first fall underground_yoga class at @Necto! loleannarbor has‰€_ https://t.co/AQgdc6VO2M
1035,16,@JonRut11 the real reason I've been working out my arms. ’Ê_’ü‚
1036,14,I'm in the middle of making him breakfast and I go to check on him and walk out to this. He told me‰€_ https://t.co/iWZM0NtdGT
1037,2,"ESPN MLB - DET Run Scored TOP 3RD - DET 1 OAK 0 - A Jackson singled to left, A Avila scored."
1038,15,"There are a lot of wheels spinning in your head, but it's prud... More for Gemini http://t.co/uyefOdyv0c"
1039,22,@BrandyyVal_xX wire coat hanger
1040,3,I'm old enough to remember when Darren Sproules was too small for Division I football.   #ItsAboutHeart
1041,14,Had surf and turf yesterday with Maria Barlow and Brandon Kimbrough ...trying to plan another great meal today!... http://t.co/OSC97rxPhw
1042,14,In there like swim wear https://t.co/n4CsIxwqmc
1043,5,Congrats to AC Hockey for winning tonight against Alabama-Huntsville..#gobulldogs #AChockey #proudalum @ronfogarty @geerab27 @DirtyMitts71
1044,14,I'm so sick I don't think I can get up.... Digging a trench today?\n#horseprobs #notmyhorse ’Ê_’ü_’Ê_’ü‘
1045,13,"Woke up with a giant migraine, puked my guts out, now I have to workout and do homework all day. Yay."
1046,0,I love working out on Friday nights #GymToMyself
1047,14,Going down stairs with sore thighs are da worst agh
1048,17,"If you have leftover rotisserie chicken or cooked chicken breast, make this high-protein chicken sal https://t.co/7JHsEbyPop"
1049,15,Mmmm #pasta! @AndiamoItalia Chef Jim Oppat on @4LiveInTheD today. @rhondawalker &amp; @Sandraalitv making pasta? Tune in! http://t.co/0GFRQlARw1
1050,0,"Come down for dinner and stay for drinks, music, and dancing!! http://t.co/jY4OwKA14T"
1051,16,Football season ’Ê_’Àˆ’Ê_’Àˆ’Ê_’üÅ
1052,14,"Tim cup golf outing. Lake Geneva, Wi http://t.co/pFjVgzO87l"
1053,2,"Workout of the Day, September 24,åÊ2016 https://t.co/qF1NpjJxLC https://t.co/EBLwNReYo1"
1054,19,Meet Dj 101 Student G Cue. He is practicing the exercise repetitively under our instruction. This is‰€_ http://t.co/1QxYjduIPK
1055,0,"I'm at BE NICE Yoga (Detroit, MI) http://t.co/qfnzbJra8c"
1056,16,#vans #sk8hi Del Pato MTE. #vansmountainedition #peopleskate #peoplesnowboard @ People Skate &amp; Snowboard https://t.co/fC3VN1fGGh
1057,14,Dirty bike
1058,0,"If you're in the South Florida area, give my boy a call for a good workout ‰œ_’Ê_’Àƒ’Ê_’_Œ http://t.co/5Z7PD2vnW6"
1059,4,I swear anything can happen in football smh that was foul ass call but that play just made my jaw drop
1060,12,I love it when I get the work out done. It makes the rest of the day that much better.
1061,2,Trump and Pence have not agreed on anything since they began running with each other. Wow! #Debates2016
1062,15,"I think I could walk to work faster than I'm getting there right now , getting stuck at every light twice #WTF"
1063,1,I cooked dinner now I'm chillen with my sister Camille Marie Whittaker-Bryant ‰€” watching The Walking Dead
1064,2,"He settled in Rockford, Illinois. He would sit by the river and watch the fish swim. Follow up is there a river in Rockford?"
1065,22,I'm suspicious of anyone who brought a briefcase to Deloitte's first day orientation. What could you possibly be carrying?
1066,1,WAIT TRAMPOLINE IS AN OLYMPIC SPORT??? I'll double bounce the shit outta anyone for that gold #OpeningCeremony
1067,13,"""@DrugsPsych: ""I can't paint"" http://t.co/7Z5he2RH8a"""
1068,1,"Since I couldn't make it to the @twentyonepilots or the @edsheeran concert, I'll have a dance party in my room instead"
1069,17,"Can you recommend anyone for this #job? stone installer - http://t.co/Szbn1gqkkv #Yaphank, NY #Construction #Hiring #TweetMyJobs"
1070,19,"So far the athletes at Oakland County CrossFit have completed a grand total of 4,920 squats!  Way to go everyone!"
1071,0,"RT@Khloee_Symone: Everytime I Sit Up Here And Think About The Shit, I Just Want To Cry,You Cannot Possibly Be A Team But Lowkey Stand Alone."
1072,0,"When you drive by someone decades older than you, but they ride a bike like they are decades younger than you..."
1073,14,Shooting stills of Splash &amp; Dash Indoor Triathlon. Roads/visibility bad. Tough drive here. Good that this is indoo... http://t.co/sMlZlgsdZm
1074,17,"Classic NCAA, benching a guy for a year for 1 dance with mary, but letting rapists keep playing http://t.co/4uJFoRlGK2 #mitchmcgary #ncaa"
1075,4,Bowling with my boo boo he weak!!! Lol http://t.co/b0hICJJZ
1076,0,@Ben_Chiefin Bill her husband was not running for President that was his issue.
1077,23,#NowPlaying: Time (Dj Tyo &amp; Hernandez Club Mix) - Jennifer Carbonell : 37.31 miles @ 12.44 mph #Cycle Ride #fitness #iSmoothRun
1078,21,Women's beach volleyball have the best uniforms ’Ê_’±Œ’Ê_’À_’Ê_’_‘
1079,2,He's my favorite cousin #jackjack @ Lake Orion Football Stadium https://t.co/IGwK63yyuf
1080,19,Idk how somebody can just not lift or exercise lol
1081,18,Run &amp; tell all them hoes I said boss tf up.
1082,2,Just got done playing some good street football. Always remember where you came from...
1083,15,@EddieManTheG just walked past yo og block wya
1084,18,@Sami_harris10 @RandallHarris20 I'm going to Orlando for the World Series because I'm a softball player
1085,14,the cleaning lady just knocked over her bucket of water 2 stories up stairs and I've never been more confused thinking it's raining inside
1086,18,Regarding our bball JUCO commit:\n\nDoes he like basketball?\n\nDoes he want to work to improve?\n\nCan he shoot FT's?\n\nIs he better than PJ Hill?
1087,1,Done playing soccer ‰™Á
1088,3,I've been interpretative dancing all day help what's wrong
1089,21,Everybody riding bikes
1090,16,"Meet the all-new 2017 AWD @VW #Golf #Alltrack - aka. ""The Subie Killer"" ^WG\n\n#VWGolfAlltrack #VW2017 https://t.co/OMRHOBmy79"
1091,17,Off to the gym ’Ê_’_»’Ê_’À_
1092,23,I wish somebody would cook for me
1093,3,I wanna go skating
1094,20,I've had this song on repeat all week Wiz Khalifa - Pull Up ft. Lil Uzi Vert  https://t.co/j195ekHxXS
1095,21,Grandpa just turned 78 today and all he has planned for today is hockey practice ’Ê_’ü_’Ê_’±_’Ê_’À_
1096,16,Michigan Golfer/GLSP reedit Paul W. Smith Golf Classic @PaulWJR @PaulWTalk @PCGCampbell @thinkdetroitpal. http://t.co/mv0XGIJ via @youtube
1097,23,@foxworth42 Hmmmmm actually... @Ratchet_the_fox was pointing that out to me during the Saturday dance. :p
1098,7,#blindfaith #calisthenics #np #scriptures http://t.co/XphQlkZwUa
1099,20,Created with free @iosarticle App! #jusgramm @ Planet Fitness http://t.co/NcQTHGbA
1100,5,@Tabre_ cook sum thing fast like a grill chesse
1101,14,My boys doing weekend yard work.  :-) @salinajd http://t.co/9w1K9qFt2M
1102,1,"My Sweet New Laptop. It Can Be A Regular Laptop, Or Fold Down To A Tablet. #Lenovo #yoga #laptop‰€_ http://t.co/oucXzUHV6O"
1103,19,Bowling Green won the MAC last year.   Just saying.
1104,2,Upton still digging himself a whole every at bat
1105,22,Walked 3.88 miles in 65 mins and felt great. http://t.co/EPi3gZqZ
1106,13,You won't find me anywhere besides 10 ft away from a pool all day ‰œŒ’Ê_’À_•üè
1107,1,Helping my mama cook. _
1108,0,"Comfort 1 Heating &amp; Air Conditioning Michigan Center, MI $10 off Furnace or A/C Repair http://t.co/Pfrkj19znb MichiganCenter #coupon"
1109,1,12 miles tonight on the Clinton River Trail #Fitbit #sunset #bike  @gary_fisher @ Clinton River Trail http://t.co/l5bL27lajM
1110,22,Every time I go to the gym I get scared.
1111,0,Baked potatoes and chicken for dinner tonight. _
1112,0,@PSFK TY 'was fortunate as auto racing writer my editor was supportive. But I was also careful when to reveal my gender.
1113,19,"""To Sabrina in MRun who I helped with squats at the CCRB on Saturday around 5 or 6: should've gotten your number, please favorite this!"""
1114,12,Busy day today. Packing up and running all last minute Michigan errands before heading to Chicago tomorrow!
1115,16,Sitting on the floor on the hall waiting for class. I'm thinking about yoga because I'm a little worried I'm stuck.
1116,3,@Wufrom6 @Bread501 @SDK811 Rasheed Wallace is in talks with the Detroit Pistons to join Maurice Cheeks coaching staff
1117,1,All of us are hurtling through space together on a ROCK. @village yoga\n#yogamadesimple #behuman #behappy #befree https://t.co/2lMmp923HX
1118,17,New employee at planet fitness from Hawaii.. Aloha_
1119,22,Who wants to skate tonight
1120,18,"Listen to Devlon Young Work ""Stay Fli"" by Anr Reps #np on #SoundCloud\nhttps://t.co/TRj3xk7RWj"
1121,18,@mussercw yes hockey is a sport my friend _
1122,1,"R P Septic Systems &amp; Excavating INC Hamilton, MI Free Estimates http://t.co/ICRoYVSdGF Hamilton Septic Tank Cleaning &amp; Pumping #coupon"
