Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","47.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","45.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","40.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","38.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","36.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","33.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","30","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","26.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","24.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","24.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","25","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","27.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","26.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","26.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","25.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","27.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","28.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","29.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","6.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","7.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","8.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","8.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","8.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","8.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","7.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","4.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","3.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","3.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","4.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","4.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","4.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","3.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","3.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","7.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","6.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","6.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","5.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","5.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","4.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","3.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","3.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","3.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","3.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","3.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","3.1","F","FAO estimate",""
